TEAM STATISTICS,MUR,OPP
SCORING,272,376
Points Per Game,22.7,31.3
FIRST DOWNS,219,230
Rushing,78,105
Passing,125,106
Penalty,16,19
RUSHING YARDAGE,1620,1748
Yards gained rushing,1928,2143
Yards lost rushing,308,395
Rushing Attempts,423,486
Average Per Rush,3.8,3.6
Average Per Game,60.2,46.6
TDs Rushing,14,28
PASSING YARDAGE,2627,2193
Att-Comp-Int,407-256-16,330-210-14
Average Per Pass,6.5,6.6
Average Per Catch,10.3,10.4
TDs Passing,15,15
TOTAL OFFENSE,4247,3941
Total Plays,830,816
Average Per Play,5.1,4.8
KICK RETURNS: #-Yards,55-1034,56-1288
PUNT RETURNS: #-Yards,22-219,21-302
INT RETURNS: #-Yards,14-342,16-112
KICK RETURN AVERAGE,18.8,23.0
PUNT RETURN AVERAGE,10.0,14.4
INT RETURN AVERAGE,24.4,7.0
FUMBLES-LOST,24-14,19-12
PENALTIES-Yards,81-723,64-559
PUNTS-Yards,63-2278,60-2392
Average Per Punt,36.2,39.9
Net punt average,30.4,35.2
TIME OF POSSESSION/Game,28:34,31:22
3RD-DOWN Conversions,64/180,66/173
3rd-Down Pct,36%,38%
4TH-DOWN Conversions,11/25,11/19
4th-Down Pct,44%,58%
SACKS BY-Yards,26-218,19-115
MISC YARDS,0,32
TOUCHDOWNS SCORED,33,48
FIELD GOALS-ATTEMPTS,14-20,13-16
ON-SIDE KICKS,0-0,0-0
RED-ZONE SCORES,31-41 76%,41-51 80%
RED-ZONE TOUCHDOWNS,19-41 46%,32-51 63%
PAT-ATTEMPTS,30-33 91%,47-48 98%
ATTENDANCE,27258,79164
Games/Avg Per Game,6/4543,6/13194
Neutral Site Games,,0/0
