TEAM STATISTICS,INS,OPP
SCORING,101,508
Points Per Game,8.4,42.3
FIRST DOWNS,146,263
Rushing,83,162
Passing,48,86
Penalty,15,15
RUSHING YARDAGE,1539,3098
Yards gained rushing,2017,3215
Yards lost rushing,478,117
Rushing Attempts,493,529
Average Per Rush,3.1,5.9
Average Per Game,40.2,44.0
TDs Rushing,8,40
PASSING YARDAGE,881,1824
Att-Comp-Int,242-110-11,237-142-2
Average Per Pass,3.6,7.7
Average Per Catch,8.0,12.8
TDs Passing,3,24
TOTAL OFFENSE,2420,4922
Total Plays,735,766
Average Per Play,3.3,6.4
KICK RETURNS: #-Yards,72-1314,25-573
PUNT RETURNS: #-Yards,14-91,42-588
INT RETURNS: #-Yards,2-20,11-176
KICK RETURN AVERAGE,18.2,22.9
PUNT RETURN AVERAGE,6.5,14.0
INT RETURN AVERAGE,10.0,16.0
FUMBLES-LOST,24-7,25-15
PENALTIES-Yards,51-483,61-528
PUNTS-Yards,89-3062,43-1656
Average Per Punt,34.4,38.5
Net punt average,27.3,34.1
TIME OF POSSESSION/Game,31:10,30:05
3RD-DOWN Conversions,44/180,62/130
3rd-Down Pct,24%,48%
4TH-DOWN Conversions,13/30,5/9
4th-Down Pct,43%,56%
SACKS BY-Yards,7-35,27-131
MISC YARDS,0,-20
TOUCHDOWNS SCORED,12,68
FIELD GOALS-ATTEMPTS,5-8,10-13
ON-SIDE KICKS,0-0,0-0
RED-ZONE SCORES,11-17 65%,58-68 85%
RED-ZONE TOUCHDOWNS,8-17 47%,51-68 75%
PAT-ATTEMPTS,12-12 100%,64-65 98%
ATTENDANCE,19423,95479
Games/Avg Per Game,5/3885,7/13640
Neutral Site Games,,0/0
