TEAM STATISTICS,YSU,OPP
SCORING,398,283
Points Per Game,36.2,25.7
FIRST DOWNS,264,186
Rushing,129,73
Passing,125,101
Penalty,10,12
RUSHING YARDAGE,2542,1607
Yards gained rushing,2682,1865
Yards lost rushing,140,258
Rushing Attempts,482,386
Average Per Rush,5.3,4.2
Average Per Game,49.0,37.2
TDs Rushing,26,24
PASSING YARDAGE,2503,2268
Comp-Att-Int,190-296-8,176-299-7
Average Per Pass,8.5,7.6
Average Per Catch,13.2,12.9
TDs Passing,27,15
TOTAL OFFENSE,5045,3875
Total Plays,778,685
Average Per Play,6.5,5.7
KICK RETURNS: #-Yards,45-916,65-1597
PUNT RETURNS: #-Yards,17-192,20-176
INT RETURNS: #-Yards,7-136,8-162
KICK RETURN AVERAGE,20.4,24.6
PUNT RETURN AVERAGE,11.3,8.8
INT RETURN AVERAGE,19.4,20.2
FUMBLES-LOST,11-5,17-11
PENALTIES-Yards,57-539,50-409
PUNTS-Yards,53-2112,61-2342
Average Per Punt,39.8,38.4
Net punt average,34.6,34.9
TIME OF POSSESSION/Game,33:09,26:50
3RD-DOWN Conversions,65/145,49/141
3rd-Down Pct,45%,35%
4TH-DOWN Conversions,10/15,13/17
4th-Down Pct,67%,76%
SACKS BY-Yards,22-148,9-49
MISC YARDS,0,0
TOUCHDOWNS SCORED,56,39
FIELD GOALS-ATTEMPTS,3-5,5-7
ON-SIDE KICKS,0-0,0-0
RED-ZONE SCORES,(42-47) 89%,(34-40) 85%
RED-ZONE TOUCHDOWNS,(39-47) 83%,(29-40) 73%
PAT-ATTEMPTS,(53-56) 95%,(34-39) 87%
ATTENDANCE,82867,125202
Games/Avg Per Game,6/13811,5/25040
Neutral Site Games,,0/0
